console,release_year,price_usd
NES,10/18/1985,419.54
SNES,8/23/1991,466.16
Virtual Boy,8/14/1995,375.72
Nintendo 64,9/29/1996,405.3
GameCube,11/18/2001,360.52
Wii,11/19/2006,396.76
Wii U,11/18/2012,416.71
Switch,3/3/2017,395.5
Switch 2,6/5/2025,449.99
